iter	Passed	Remaining
1116	24029	1785
1117	24048	1763
1118	24067	1742
1119	24086	1720
1120	24105	1698
1121	24126	1677
1122	24146	1655
1123	24165	1633
1124	24185	1612
1125	24207	1590
1126	24228	1569
1127	24249	1547
1128	24269	1526
1129	24290	1504
1130	24309	1483
1131	24329	1461
1132	24350	1439
1133	24370	1418
1134	24389	1396
1135	24408	1375
1136	24427	1353
1137	24447	1331
1138	24466	1310
1139	24485	1288
1140	24505	1267
1141	24524	1245
1142	24544	1224
1143	24563	1202
1144	24582	1180
1145	24602	1159
1146	24621	1137
1147	24640	1116
1148	24661	1094
1149	24682	1073
1150	24701	1051
1151	24721	1030
1152	24740	1008
1153	24759	986
1154	24784	965
1155	24807	944
1156	24830	922
1157	24852	901
1158	24873	879
1159	24894	858
1160	24916	836
1161	24938	815
1162	24961	794
1163	24981	772
1164	24999	751
1165	25019	729
1166	25038	708
1167	25058	686
1168	25077	665
1169	25096	643
1170	25115	621
1171	25134	600
1172	25153	578
1173	25173	557
1174	25196	536
1175	25219	514
1176	25239	493
1177	25258	471
1178	25277	450
1179	25296	428
1180	25314	407
1181	25333	385
1182	25352	364
1183	25371	342
1184	25391	321
1185	25410	299
1186	25432	278
1187	25450	257
1188	25475	235
1189	25496	214
1190	25515	192
1191	25535	171
1192	25554	149
1193	25573	128
1194	25592	107
1195	25611	85
1196	25631	64
1197	25650	42
1198	25669	21
1199	25689	0
